L = 20
T           <E>         <|M|>       Cv          ChiAbs      
2              -1.74633       0.912423       0.698311       0.335117       
2.005          -1.74395       0.91169        0.710642       0.328778       
2.01           -1.73955       0.908819       0.749381       0.391639       
2.015          -1.73697       0.907461       0.738706       0.404523       
2.02           -1.73119       0.904383       0.765252       0.438121       
2.025          -1.72586       0.901188       0.800321       0.537464       
2.03           -1.72444       0.902011       0.768841       0.445176       
2.035          -1.71783       0.89757        0.81655        0.561646       
2.04           -1.71638       0.897826       0.769317       0.475636       
2.045          -1.71288       0.896489       0.817365       0.517007       
2.05           -1.70596       0.892919       0.84838        0.544217       
2.055          -1.70188       0.890726       0.866874       0.600119       
2.06           -1.69751       0.888913       0.834656       0.544481       
2.065          -1.6931        0.883645       0.921975       0.919001       
2.07           -1.69292       0.88685        0.853902       0.572118       
2.075          -1.68347       0.880723       0.884284       0.660141       
2.08           -1.68377       0.882451       0.873472       0.608492       
2.085          -1.67448       0.874449       0.940764       0.864662       
2.09           -1.66918       0.871656       0.970535       0.984063       
2.095          -1.67022       0.874952       0.91879        0.783655       
2.1            -1.65752       0.864021       0.994108       1.08613        
2.105          -1.65463       0.860395       1.05404        1.68068        
2.11           -1.65034       0.861562       1.0129         1.12977        
2.115          -1.64424       0.851344       1.10926        2.05507        
2.12           -1.63833       0.850159       1.11391        1.77157        
2.125          -1.63638       0.851872       1.06543        1.52682        
2.13           -1.63027       0.850742       1.04511        1.04341        
2.135          -1.62758       0.848468       1.07855        1.21901        
2.14           -1.61992       0.844411       1.09239        1.24712        
2.145          -1.61527       0.83839        1.1278         1.67061        
2.15           -1.6112        0.838792       1.08852        1.38736        
2.155          -1.60592       0.833844       1.14539        1.84468        
2.16           -1.59816       0.82915        1.14146        1.76861        
2.165          -1.5875        0.819461       1.21637        1.97572        
2.17           -1.58352       0.811458       1.25667        3.05479        
2.175          -1.58435       0.822301       1.14995        1.47238        
2.18           -1.57632       0.815868       1.18174        1.89085        
2.185          -1.57196       0.814107       1.16702        1.79714        
2.19           -1.55623       0.793465       1.32505        3.0571         
2.195          -1.56374       0.809115       1.21394        1.79107        
2.2            -1.54317       0.78021        1.44987        4.04818        
2.205          -1.55273       0.801591       1.2522         2.13011        
2.21           -1.53505       0.780004       1.3615         3.49969        
2.215          -1.52931       0.775166       1.43441        3.39936        
2.22           -1.50843       0.746051       1.55201        4.95916        
2.225          -1.51396       0.76104        1.39325        3.7726         
2.23           -1.51148       0.76576        1.42702        3.27717        
2.235          -1.49979       0.748542       1.50309        4.37988        
2.24           -1.4966        0.753126       1.44479        3.54137        
2.245          -1.47176       0.714902       1.58879        5.75199        
2.25           -1.48131       0.734169       1.53378        4.93375        
2.255          -1.48009       0.735908       1.54137        4.39103        
2.26           -1.47126       0.732451       1.47804        3.93506        
2.265          -1.44983       0.692725       1.71038        6.71065        
2.27           -1.44388       0.688044       1.65612        6.65935        
2.275          -1.44455       0.697942       1.58017        5.56674        
2.28           -1.41822       0.659178       1.67069        7.0073         
2.285          -1.41846       0.662328       1.72188        7.36045        
2.29           -1.41482       0.662976       1.62182        6.81056        
2.295          -1.39924       0.643296       1.63951        7.55305        
2.3            -1.40596       0.668695       1.55375        5.63534        
2.305          -1.39719       0.652318       1.63777        6.71919        
2.31           -1.37455       0.620811       1.6701         7.80983        
2.315          -1.36235       0.595852       1.71067        8.70935        
2.32           -1.36262       0.605839       1.62749        8.00551        
2.325          -1.35087       0.586036       1.70372        8.59344        
2.33           -1.35684       0.608952       1.66645        7.6752         
2.335          -1.31411       0.524352       1.62857        9.74995        
2.34           -1.32914       0.565899       1.6634         8.48497        
2.345          -1.32038       0.556249       1.61999        8.75327        
2.35           -1.30198       0.519844       1.56298        9.20966        
2.355          -1.31009       0.544321       1.64329        8.91742        
2.36           -1.28139       0.503548       1.54679        8.86796        
2.365          -1.28966       0.510418       1.62247        9.74952        
2.37           -1.27413       0.497748       1.55477        9.04647        
2.375          -1.27782       0.506401       1.456          8.56755        
2.38           -1.26921       0.498959       1.44853        8.62826        
2.385          -1.25928       0.473821       1.46899        9.23442        
2.39           -1.2497        0.464284       1.41369        9.1532         
2.395          -1.24588       0.46404        1.46265        8.91096        
2.4            -1.23879       0.455184       1.40279        9.02797        
2.405          -1.22903       0.447241       1.32941        8.27575        
2.41           -1.22514       0.440701       1.33365        8.45067        
2.415          -1.21309       0.421462       1.33604        8.87774        
2.42           -1.21239       0.437035       1.33735        7.92953        
2.425          -1.20681       0.424535       1.33381        8.20803        
2.43           -1.1957        0.404701       1.36705        8.84112        
2.435          -1.19865       0.412633       1.30636        8.48902        
2.44           -1.1817        0.38248        1.23159        8.18902        
2.445          -1.18068       0.387573       1.23754        8.32185        
2.45           -1.1686        0.366492       1.13626        7.62415        
2.455          -1.17289       0.389755       1.20422        7.80113        
2.46           -1.16443       0.36895        1.1715         7.90826        
2.465          -1.15815       0.368471       1.05782        7.22291        
2.47           -1.14026       0.331358       1.08249        7.08997        
2.475          -1.14384       0.34984        1.11453        7.41934        
2.48           -1.14357       0.351409       1.05919        7.0932         
2.485          -1.13276       0.339586       1.02575        6.7469         
2.49           -1.1251        0.326935       1.01907        6.81722        
2.495          -1.12062       0.32384        1.01079        6.81717        
2.5            -1.11826       0.321259       1.01129        6.5288         
2.505          -1.11834       0.330109       1.03488        6.79904        
2.51           -1.11298       0.316713       1.01419        6.54595        
2.515          -1.10811       0.316133       0.954416       6.1314         
2.52           -1.09797       0.303217       0.909909       5.84384        
2.525          -1.09716       0.30284        0.928299       5.9579         
2.53           -1.08911       0.288601       0.877596       5.47731        
2.535          -1.07956       0.278057       0.864751       5.35118        
2.54           -1.08553       0.29289        0.931047       5.86943        
2.545          -1.07663       0.27804        0.879004       5.44384        
2.55           -1.06866       0.273762       0.855538       5.30778        
2.555          -1.0627        0.262296       0.841226       5.06266        
2.56           -1.06201       0.261688       0.82843        4.96633        
2.565          -1.05227       0.251662       0.815136       4.95369        
2.57           -1.05979       0.266011       0.82125        5.04581        
