L = 80
T           <E>         <|M|>       Cv          ChiAbs      
2.535          -1.0801        0.0958259      2.3035         29.1535        
2.54           -1.08276       0.1191         2.22383        26.9817        
2.545          -1.07445       0.0791831      2.23598        24.018         
2.55           -1.07255       0.0952603      2.23766        29.7038        
2.555          -1.06575       0.089133       2.27864        25.8084        
2.56           -1.06097       0.0771562      2.4071         28.4095        
2.565          -1.0628        0.081766       2.17667        26.667         
2.57           -1.0527        0.0992185      2.42228        30.0205        
2.575          -1.04959       0.0736979      2.25575        23.1035        
2.58           -1.04749       0.0921148      2.29014        27.0726        
2.585          -1.0452        0.0904417      2.08786        23.2603        
2.59           -1.04081       0.0884143      2.09053        23.76          
2.595          -1.03859       0.0936681      2.20019        26.5275        
2.6            -1.03554       0.0855918      2.20978        24.0446        
2.605          -1.03165       0.0764582      2.23307        24.3733        
2.61           -1.02489       0.0856737      2.34517        24.8899        
2.615          -1.01772       0.0722591      2.02467        18.2449        
2.62           -1.01736       0.0750976      2.07858        20.5253        
2.625          -1.01593       0.0804197      2.36836        22.9644        
2.63           -1.01115       0.0594761      2.16988        20.341         
2.635          -1.00748       0.0773473      2.06367        19.9411        
2.64           -1.00485       0.0667854      1.97285        19.3019        
2.645          -1.00357       0.0953394      2.12849        21.8732        
2.65           -0.998581      0.0599035      1.8964         14.9384        
2.655          -0.997739      0.0702234      1.94181        20.2934        
2.66           -0.990151      0.0650029      1.93682        18.3417        
2.665          -0.989737      0.0662771      2.0137         19.1221        
2.67           -0.986658      0.0717843      1.8799         16.391         
2.675          -0.986445      0.0602113      1.82366        16.3956        
2.68           -0.981684      0.0630841      2.01777        16.5601        
2.685          -0.9782        0.067022       2.09386        19.9709        
2.69           -0.976909      0.0637235      1.88231        17.8883        
2.695          -0.971834      0.0661621      1.83976        16.871         
2.7            -0.967938      0.0665352      1.85452        15.0126        
2.705          -0.963798      0.0552318      1.91674        15.7485        
2.71           -0.960998      0.0557861      1.84963        14.3971        
2.715          -0.961818      0.0607913      1.87975        14.1876        
2.72           -0.954316      0.0570526      1.88658        13.0874        
2.725          -0.952958      0.0603486      1.83527        13.524         
2.73           -0.949122      0.0561828      1.84564        14.1656        
2.735          -0.945735      0.0558129      1.82097        13.859         
2.74           -0.945779      0.0591717      1.80878        14.0212        
2.745          -0.943497      0.0656166      1.93661        15.0079        
2.75           -0.939141      0.05812        1.8821         14.0218        
2.755          -0.936577      0.0713177      1.73141        12.8497        
2.76           -0.93459       0.0515405      1.75221        12.9657        
2.765          -0.930008      0.0574855      1.91405        15.7689        
2.77           -0.928653      0.0509149      1.71149        12.0053        
2.775          -0.921933      0.048159       1.76726        12.0139        
2.78           -0.92104       0.0513732      1.77997        12.1213        
2.785          -0.922458      0.0531961      1.64026        12.0421        
2.79           -0.914718      0.0526484      1.64358        10.9374        
2.795          -0.914018      0.0527948      1.70362        12.1975        
2.8            -0.915828      0.060388       1.59051        11.4897        
2.805          -0.90833       0.0482114      1.66829        12.2885        
2.81           -0.904582      0.0560723      1.65123        11.6435        
2.815          -0.903859      0.0506042      1.53245        11.3593        
2.82           -0.899322      0.0502604      1.68796        11.8008        
2.825          -0.898008      0.0427916      1.69636        10.6487        
2.83           -0.894955      0.0536445      1.72568        11.0796        
2.835          -0.8955        0.0496968      1.75199        11.0482        
2.84           -0.892239      0.0510296      1.69557        11.1057        
2.845          -0.888145      0.0458239      1.54142        9.92356        
2.85           -0.88812       0.0468314      1.68413        10.4461        
2.855          -0.881454      0.0489215      1.53267        9.72099        
2.86           -0.883325      0.0494854      1.60942        10.9754        
2.865          -0.880353      0.048568       1.60883        10.9309        
2.87           -0.875784      0.0409723      1.60145        9.61312        
2.875          -0.874465      0.0417973      1.56091        9.63249        
2.88           -0.870992      0.0455374      1.61623        10.2784        
2.885          -0.868481      0.0445115      1.56775        9.32122        
2.89           -0.868766      0.0456014      1.50636        9.75255        
2.895          -0.867403      0.0474904      1.48635        8.68696        
2.9            -0.86175       0.0435961      1.42954        8.62452        
2.905          -0.859566      0.0425152      1.39723        8.5654         
2.91           -0.857345      0.0427079      1.44297        8.94977        
2.915          -0.854541      0.0452184      1.48452        9.18376        
2.92           -0.853239      0.0439518      1.44806        9.03078        
2.925          -0.849722      0.0463488      1.42473        8.83397        
2.93           -0.846552      0.0438795      1.45369        8.6998         
2.935          -0.847184      0.03957        1.45469        8.77228        
2.94           -0.843484      0.0429761      1.42104        7.93454        
2.945          -0.843525      0.0426871      1.43368        8.26687        
2.95           -0.840248      0.0446812      1.36778        7.94856        
2.955          -0.838406      0.0417846      1.37434        7.75398        
2.96           -0.836731      0.0406331      1.43795        7.85866        
2.965          -0.83391       0.0414332      1.38028        8.00996        
2.97           -0.831186      0.0396756      1.39209        8.37054        
2.975          -0.830939      0.0400132      1.38763        8.6442         
2.98           -0.828038      0.0403522      1.34835        7.31556        
2.985          -0.82607       0.0381083      1.3562         6.80302        
2.99           -0.825992      0.0387432      1.35074        6.95841        
2.995          -0.821444      0.039795       1.45199        7.89951        
3              -0.819781      0.0403023      1.32666        7.34776        
