L = 20
T           <E>         <|M|>       Cv          ChiAbs      
2.575          -1.05152       0.258894       0.795146       4.81042        
2.58           -1.04418       0.249249       0.785808       4.42793        
2.585          -1.04345       0.254825       0.783928       4.47931        
2.59           -1.03994       0.247382       0.755907       4.43787        
2.595          -1.03588       0.24975        0.783596       4.46624        
2.6            -1.03118       0.240822       0.735992       4.38012        
2.605          -1.02523       0.230472       0.743632       4.07904        
2.61           -1.02908       0.252666       0.751704       4.50944        
2.615          -1.02195       0.243184       0.735265       4.23894        
2.62           -1.01467       0.225681       0.725681       3.96327        
2.625          -1.01336       0.226101       0.717948       3.97158        
2.63           -1.0113        0.235329       0.704726       3.97355        
2.635          -1.00532       0.221484       0.676249       3.72073        
2.64           -1.00897       0.24121        0.716267       4.02757        
2.645          -1.00257       0.226313       0.688368       3.72462        
2.65           -0.996005      0.217288       0.681711       3.481          
2.655          -0.997213      0.22094        0.695967       3.72858        
2.66           -0.993313      0.226729       0.665674       3.63818        
2.665          -0.988551      0.214604       0.680154       3.60909        
2.67           -0.986226      0.215843       0.653039       3.43174        
2.675          -0.980714      0.211828       0.649434       3.22604        
2.68           -0.97584       0.199628       0.614819       2.98804        
2.685          -0.972747      0.19783        0.622258       3.15716        
2.69           -0.969303      0.200639       0.636278       3.13798        
2.695          -0.967244      0.199275       0.640869       3.02874        
2.7            -0.964171      0.196938       0.620832       3.0303         
2.705          -0.968164      0.207626       0.626321       3.29101        
2.71           -0.958312      0.192579       0.590194       2.78763        
2.715          -0.952924      0.192891       0.600956       2.83473        
2.72           -0.955904      0.197605       0.592114       2.96009        
2.725          -0.948047      0.194033       0.598087       2.89752        
2.73           -0.94795       0.192116       0.595428       2.71648        
2.735          -0.945562      0.18711        0.590435       2.75673        
2.74           -0.945877      0.19581        0.574931       2.84579        
2.745          -0.938897      0.184346       0.550566       2.47414        
2.75           -0.937342      0.180007       0.577127       2.552          
2.755          -0.933347      0.183998       0.574021       2.69301        
2.76           -0.933777      0.191458       0.551684       2.55778        
2.765          -0.927459      0.179649       0.541377       2.43178        
2.77           -0.927292      0.179313       0.543529       2.49032        
2.775          -0.922796      0.176199       0.546594       2.41694        
2.78           -0.921328      0.183719       0.550861       2.48627        
2.785          -0.918366      0.17637        0.529053       2.31542        
2.79           -0.913143      0.174315       0.528614       2.28238        
2.795          -0.911256      0.170423       0.522589       2.13223        
2.8            -0.909741      0.173642       0.522356       2.33231        
2.805          -0.906862      0.166938       0.524405       2.21099        
2.81           -0.905006      0.168947       0.510754       2.15819        
2.815          -0.900665      0.162826       0.514388       2.10094        
2.82           -0.902246      0.168212       0.51687        2.14165        
2.825          -0.897945      0.16762        0.508262       2.13975        
2.83           -0.89685       0.169535       0.528932       2.19654        
2.835          -0.889017      0.164807       0.496838       2.14139        
2.84           -0.889272      0.164297       0.499018       2.04118        
2.845          -0.888625      0.165253       0.51075        2.05433        
2.85           -0.882279      0.156907       0.481808       1.78334        
2.855          -0.88244       0.161373       0.480279       1.95395        
2.86           -0.879761      0.157063       0.482143       1.89857        
2.865          -0.875812      0.154898       0.469674       1.85499        
2.87           -0.875053      0.157935       0.471787       1.85901        
2.875          -0.871853      0.15642        0.470929       1.85668        
2.88           -0.869249      0.153393       0.474259       1.76868        
2.885          -0.866735      0.156088       0.469768       1.82863        
2.89           -0.86532       0.152917       0.474459       1.75927        
2.895          -0.862426      0.152186       0.463795       1.73594        
2.9            -0.860172      0.150336       0.457693       1.75538        
2.905          -0.858134      0.150569       0.450411       1.66497        
2.91           -0.857322      0.149943       0.445139       1.65316        
2.915          -0.853751      0.148961       0.45443        1.68438        
2.92           -0.849299      0.147757       0.433904       1.5529         
2.925          -0.847485      0.149099       0.44892        1.62702        
2.93           -0.8478        0.143581       0.443541       1.50942        
2.935          -0.844248      0.145075       0.443382       1.57609        
2.94           -0.843033      0.141446       0.441248       1.54366        
2.945          -0.839142      0.142397       0.437379       1.51672        
2.95           -0.836673      0.138536       0.422131       1.39722        
2.955          -0.835894      0.139366       0.426359       1.48519        
2.96           -0.834699      0.1442         0.427821       1.53698        
2.965          -0.833101      0.142442       0.427378       1.49508        
2.97           -0.829417      0.138624       0.42616        1.46772        
2.975          -0.82949       0.142909       0.423095       1.52949        
2.98           -0.827761      0.142804       0.424724       1.5138         
2.985          -0.824201      0.138785       0.40991        1.40099        
2.99           -0.824784      0.141623       0.415432       1.43827        
2.995          -0.821997      0.139485       0.414754       1.42457        
3              -0.817703      0.140271       0.411928       1.42596        
