L = 100
T           <E>         <|M|>       Cv          ChiAbs      
2              -1.74396       0.910632       0.835686       0.404218       
2.005          -1.74457       0.91151        0.864343       0.386207       
2.01           -1.73653       0.906535       0.969589       0.475751       
2.015          -1.73457       0.906185       0.921596       0.467975       
2.02           -1.72999       0.903287       0.952641       0.564072       
2.025          -1.72572       0.901836       0.928653       0.503297       
2.03           -1.7242        0.90117        0.987942       0.621723       
2.035          -1.71791       0.897375       1.00868        0.624578       
2.04           -1.71691       0.898134       1.01387        0.598535       
2.045          -1.71303       0.896774       0.981418       0.510196       
2.05           -1.70616       0.892906       1.16177        0.641312       
2.055          -1.70144       0.888686       1.16734        0.82321        
2.06           -1.69716       0.886551       1.29008        0.881242       
2.065          -1.69457       0.886473       1.01748        0.622113       
2.07           -1.69124       0.88347        1.22236        1.09545        
2.075          -1.68633       0.881326       1.22887        1.00413        
2.08           -1.68002       0.878025       1.36021        1.17171        
2.085          -1.67271       0.87399        1.24171        1.11341        
2.09           -1.67291       0.876127       1.24288        0.846771       
2.095          -1.66692       0.871503       1.05426        0.747011       
2.1            -1.66034       0.865975       1.38282        1.17458        
2.105          -1.65611       0.864748       1.15908        1.04373        
2.11           -1.64943       0.859924       1.41205        1.32617        
2.115          -1.65294       0.867853       1.4004         0.970587       
2.12           -1.63841       0.848722       1.38066        2.16262        
2.125          -1.63476       0.849692       1.73779        3.06234        
2.13           -1.6333        0.852556       1.27196        1.17973        
2.135          -1.62474       0.84122        1.58776        1.94784        
2.14           -1.62726       0.851758       1.5124         1.39891        
2.145          -1.61291       0.835621       1.73349        2.50394        
2.15           -1.6015        0.80517        2.03784        8.15192        
2.155          -1.60936       0.839645       1.62753        1.59944        
2.16           -1.59644       0.82737        1.55585        2.10165        
2.165          -1.59206       0.820653       1.898          3.00734        
2.17           -1.58912       0.821261       2.0315         3.66421        
2.175          -1.58956       0.823717       1.75304        2.7152         
2.18           -1.58053       0.816747       1.77414        2.5333         
2.185          -1.56671       0.804254       1.761          3.72435        
2.19           -1.5608        0.796269       2.14867        4.44268        
2.195          -1.55814       0.792462       2.27175        5.10896        
2.2            -1.53264       0.766073       2.16717        6.60371        
2.205          -1.53598       0.765383       2.34611        6.93051        
2.21           -1.54156       0.787521       2.02998        3.80398        
2.215          -1.53415       0.781104       1.97403        3.04558        
2.22           -1.52679       0.774764       2.08773        3.8811         
2.225          -1.5077        0.742534       2.44291        7.89542        
2.23           -1.52254       0.779733       2.33682        3.84003        
2.235          -1.5034        0.753248       2.29739        5.40736        
2.24           -1.49748       0.746142       2.31173        4.5894         
2.245          -1.47186       0.698243       3.03087        11.1108        
2.25           -1.46779       0.698738       2.81789        8.13759        
2.255          -1.47269       0.709842       2.73978        8.22792        
2.26           -1.45723       0.700432       2.67192        7.75418        
2.265          -1.43928       0.634134       3.35663        25.5649        
2.27           -1.43274       0.63183        3.31835        31.1786        
2.275          -1.4214        0.631342       3.09426        18.0196        
2.28           -1.40989       0.559103       4.97522        74.3685        
