L = 60
T           <E>         <|M|>       Cv          ChiAbs      
2.365          -1.24532       0.241392       2.16336        41.4337        
2.37           -1.24466       0.219313       1.70381        41.2656        
2.375          -1.23648       0.197962       1.88883        35.515         
2.38           -1.22299       0.190266       2.15121        33.2981        
2.385          -1.23565       0.293171       1.71418        32.9403        
2.39           -1.22195       0.185653       1.86426        32.1066        
2.395          -1.22486       0.218158       1.78989        43.9769        
2.4            -1.20575       0.165989       1.60643        25.8135        
2.405          -1.21178       0.203185       1.86038        32.9124        
2.41           -1.20426       0.24036        1.81736        37.9831        
2.415          -1.18351       0.149635       1.6018         21.351         
2.42           -1.1833        0.149569       1.56128        24.2227        
2.425          -1.18787       0.1729         1.90215        34.989         
2.43           -1.16961       0.145487       1.76113        31.8663        
2.435          -1.17491       0.16136        1.60537        30.3004        
2.44           -1.17004       0.134595       1.46743        24.741         
2.445          -1.15689       0.140688       1.38106        20.4006        
2.45           -1.15916       0.170991       1.52206        22.983         
2.455          -1.14598       0.110421       1.49682        20.3775        
2.46           -1.14871       0.183762       1.59184        22.6152        
2.465          -1.14371       0.126264       1.41978        20.4718        
2.47           -1.13254       0.131441       1.38903        19.4389        
2.475          -1.14085       0.169566       1.35697        17.7085        
2.48           -1.13347       0.162793       1.34597        24.5037        
2.485          -1.12295       0.156156       1.39445        18.3995        
2.49           -1.12189       0.123522       1.31523        16.9012        
2.495          -1.11709       0.124315       1.35868        16.0739        
2.5            -1.1107        0.101731       1.4749         14.4308        
2.505          -1.10356       0.126338       1.44494        17.3665        
2.51           -1.10161       0.114573       1.27772        14.8636        
2.515          -1.09642       0.0988044      1.26064        14.218         
2.52           -1.09622       0.105125       1.4782         18.1821        
2.525          -1.0888        0.123438       1.37912        16.5004        
2.53           -1.08813       0.105616       1.28627        14.3999        
2.535          -1.08388       0.0985576      1.30023        14.4327        
2.54           -1.07608       0.0987973      1.23742        11.8515        
2.545          -1.06796       0.0961752      1.21033        11.112         
2.55           -1.06745       0.100108       1.20613        10.8165        
2.555          -1.06554       0.0893293      1.20056        11.2715        
2.56           -1.05526       0.08329        1.19498        10.3855        
2.565          -1.05536       0.0903716      1.21087        11.1832        
2.57           -1.05342       0.0924584      1.21408        10.9377        
2.575          -1.05209       0.0983115      1.23019        10.5368        
2.58           -1.04464       0.105151       1.33782        13.6394        
2.585          -1.03878       0.0971502      1.27787        11.1749        
2.59           -1.03564       0.0859154      1.16568        10.2001        
2.595          -1.03464       0.0877553      1.21279        11.7159        
2.6            -1.02984       0.0839545      1.21179        10.3099        
2.605          -1.03052       0.0894704      1.23971        11.1938        
2.61           -1.02565       0.0963248      1.1893         10.8118        
2.615          -1.01781       0.0795256      1.04846        8.87466        
2.62           -1.02019       0.0763606      1.07298        8.57147        
2.625          -1.01393       0.0876738      1.10394        8.09007        
2.63           -1.00898       0.0856498      1.06938        8.53011        
2.635          -1.00927       0.0827801      1.08356        8.41208        
2.64           -1.00219       0.080723       1.06501        8.35412        
2.645          -1.00053       0.0727808      1.04252        7.03304        
2.65           -0.997614      0.0767061      1.06           7.46749        
2.655          -0.997355      0.0873473      1.02328        8.85789        
2.66           -0.990164      0.071914       1.01734        6.82659        
2.665          -0.987735      0.0801528      1.04681        7.41234        
2.67           -0.980876      0.0775442      1.03787        7.94652        
2.675          -0.978482      0.0727459      1.03547        7.5422         
2.68           -0.97602       0.0739009      1.03227        6.96308        
2.685          -0.97452       0.0744062      1.05225        7.57978        
2.69           -0.969135      0.0676145      1.03894        7.06354        
2.695          -0.967612      0.0630191      1.03617        6.15481        
2.7            -0.967091      0.0747004      0.977428       6.77672        
2.705          -0.962287      0.0728545      0.937691       6.23809        
2.71           -0.960904      0.0753494      0.921135       7.05248        
2.715          -0.957121      0.0666176      1.00269        6.12478        
2.72           -0.951207      0.0655937      0.992871       6.23707        
2.725          -0.951968      0.0708788      1.07229        6.89767        
2.73           -0.950088      0.0739764      1.08161        6.74087        
2.735          -0.944994      0.0687319      0.965679       6.06739        
2.74           -0.939846      0.0708898      0.914788       6.51817        
2.745          -0.94095       0.067032       0.984208       6.39671        
2.75           -0.937135      0.0616872      0.924641       5.97749        
2.755          -0.933611      0.0613332      0.949598       5.40848        
2.76           -0.932844      0.0697245      0.940583       5.54278        
2.765          -0.930272      0.074587       0.904582       6.35155        
2.77           -0.925429      0.0702874      0.911241       6.15044        
2.775          -0.92349       0.0589569      0.868426       5.14633        
2.78           -0.92013       0.0668792      0.90716        5.93876        
2.785          -0.915956      0.0666294      0.909155       5.73828        
2.79           -0.913965      0.0692592      0.965949       6.61608        
2.795          -0.913542      0.0647474      0.862348       5.11222        
2.8            -0.909575      0.0641117      0.858072       5.48682        
2.805          -0.905683      0.0592905      0.853336       5.08749        
2.81           -0.904873      0.0642132      0.901143       5.75099        
2.815          -0.905181      0.0618758      0.820653       4.90887        
2.82           -0.899972      0.0582982      0.868038       5.00141        
2.825          -0.896958      0.0591904      0.81751        4.43743        
2.83           -0.893064      0.062951       0.818737       4.59947        
2.835          -0.890581      0.0566399      0.868924       4.53204        
2.84           -0.890658      0.0541914      0.841483       4.42915        
2.845          -0.885684      0.0607991      0.812616       4.68788        
2.85           -0.886609      0.0577929      0.841688       4.23957        
2.855          -0.879362      0.055364       0.828098       4.17999        
2.86           -0.880686      0.0560275      0.822894       4.80592        
2.865          -0.875996      0.0577251      0.829249       4.55466        
2.87           -0.87746       0.0624705      0.831806       4.6246         
2.875          -0.872699      0.0552771      0.804433       4.38363        
2.88           -0.870005      0.0546656      0.788193       4.29527        
